[header]
width=33
height=27
tilewidth=64
tileheight=64

[tilesets]
tileset=tiles.png,64,64,0,0

[layer]
type=tiles
data=
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
1,2,1,2,1,2,1,2,1,2,3,3,2,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,
1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,
1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,
1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,3,3,2,1,2,1,2,1,2,1,2,1,
1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,
1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,
1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,
1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,
1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,1,2,3,3,2,2,1,2,2,2,1,2,2,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,
1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1

